stimulus,amp,ampDiff,pitch,pitchDiff,ent,entDiff,o2o,ratio,ratioDiff,AMS_peak
1M,0.839134153361094,0.102187100773166,0.485607258004832,0.131348249824831,0.589946604111855,0.292713227323831,159.720930232558,0.498561953145837,0.189621400671666,4.16666666666667
2M,0.833540303184666,0.12819546130358,0.528464124161567,0.119792705976844,0.552516328857442,0.283166585902497,172.866666666667,0.500412447910543,0.0823165202167072,5.66666666666667
3M,0.835556983908,0.134588145503422,0.53382366498462,0.136415888740504,0.523710493930283,0.257849858861,191.673913043478,0.499815122082194,0.0574958466175308,5.16666666666667
4M,0.813908504584937,0.116917724894545,0.507993903045449,0.0932662772788119,0.614824095620554,0.162834503782044,154.217391304348,0.499596010268483,0.211312428582127,8.16666666666667
5M,0.834527357332136,0.182887603163085,0.537377265471025,0.115056140602419,0.518299412353411,0.190782478467353,180.647058823529,0.500372600924348,0.0905828761692882,3.5
6M,0.814430835587778,0.199447227026386,0.521634739946913,0.105440377891985,0.596367228345107,0.153889604161225,167.542857142857,0.502885536954116,0.145774257663707,7.5
7M,0.712474245573625,0.192144447445699,0.46758829160613,0.159687591067836,0.518241196357991,0.184930727094674,143.228070175439,0.498590907617974,0.140517754157441,7.16666666666667
8M,0.75454033623122,0.199841757116774,0.318031566189479,0.19989446486417,0.571767891700325,0.18346547913825,118.941176470588,0.498991106228083,0.112558013890699,8.5
9M,0.653485801466552,0.162610190212461,0.365657664099112,0.109883184210997,0.570886435087059,0.164764532321085,153.441860465116,0.500810488160859,0.130364358265899,6.33333333333333
10M,0.757927054376065,0.214799240298306,0.528127453293516,0.161811993122849,0.424548593774262,0.198176026920587,162.888888888889,0.501215579152293,0.125900703152381,4.33333333333333
11M,0.668854432734323,0.176701767220554,0.429069047524531,0.10934832815987,0.558535167047346,0.207675334473737,173.618181818182,0.499350161167052,0.158321924173573,4.33333333333333
12M,0.836581379074755,0.142979856171521,0.516831782544824,0.105493873440802,0.550601319486998,0.235950077947681,169.209302325581,0.500688860466376,0.121836406465549,5.66666666666667
13M,0.817604310399887,0.131582383429004,0.416835581236186,0.104907743217785,0.643819050128479,0.179709607118703,172.333333333333,0.503717406835593,0.205154952174929,3.66666666666667
14M,0.805573840363038,0.154167247744929,0.453935656020329,0.0875517519849525,0.524166428894017,0.148281678450284,172.152173913043,0.501891899641116,0.150760427234765,8.16666666666667
15M,0.844811864988495,0.127442799226618,0.360854323858224,0.0951337303852836,0.611284530164754,0.190184335518431,158.28125,0.503598389624552,0.181109898595582,4.33333333333333
1S,0.857060750287115,0.0527983148982796,0.419192597658065,0.111885262221384,0.628892236560509,0.187735819083338,261.96,0.499452977152511,0.229104341163299,4.5
2S,0.844899151312401,0.0515203408444887,0.503438161659824,0.140931724809878,0.698479719031126,0.149156509143453,311.217391304348,0.498929233415403,0.0995708012396444,3.33333333333333
3S,0.878801195150549,0.0227062736753653,0.584998494573729,0.073937169951843,0.780031377908384,0.0730773893472443,424.947368421053,0.488791256020016,0.208258191222602,5
4S,0.841689658247115,0.0411037209134428,0.466933638058547,0.0614207761991199,0.837731211325861,0.0418340947437391,318.125,0.496758785346971,0.225146644596033,5
5S,0.881330315246583,0.0255789571755881,0.181185257205947,0.0622020145760268,0.484181436989202,0.0761693867858284,370.647058823529,0.490544847134868,0.117476289673977,6.16666666666667
6S,0.870279076297035,0.0308563389227626,0.474730862563961,0.121246182617492,0.711674900084105,0.0714740072321394,328.5,0.494145536601262,0.139470749317836,3.66666666666667
7S,0.895522153867031,0.0663743786218162,0.343539019585326,0.202502564475712,0.503354827889101,0.144611691082617,215.035714285714,0.50440783196692,0.191858906360217,4
8S,0.894820639972993,0.118564802876189,0.285412244888385,0.178685695056388,0.487089273012469,0.161750023006777,228.714285714286,0.502030236622834,0.160603856774593,6.5
9S,0.916162693778322,0.0997572623468156,0.543768017000222,0.210842778940301,0.641694215600955,0.110267515833425,303.676470588235,0.506475873051901,0.209005429698159,1.83333333333333
10S,0.904589415482561,0.0840114591129651,0.474536193518234,0.379345906217077,0.557447137875972,0.190217144578299,285.25,0.495371462231118,0.138595934173497,8.5
11S,0.903402619084432,0.0378344366651025,0.384602712736439,0.161732156673654,0.687589878534279,0.12475780556671,205.941176470588,0.494177231906345,0.144105021207683,5.5
12S,0.886612489979069,0.0549549795831679,0.477905807452625,0.188067373027313,0.691851097537211,0.172755821928008,342.478260869565,0.507424970183392,0.140386849096257,2.66666666666667
13S,0.916515846277113,0.0597437197162318,0.207607577231601,0.0796931305838843,0.46504285318581,0.0959565094465202,359.769230769231,0.483916984092426,0.229898246825501,4.33333333333333
14S,0.853792681452823,0.0513057521644999,0.188369583142041,0.0498357382326042,0.462286108361813,0.140586454598688,262,0.499486396208248,0.230495972375359,4.5
15S,0.904888420650755,0.0455096333273986,0.154899809933917,0.0773513701402637,0.462284688027439,0.214186119604527,334.263157894737,0.490027304511394,0.169672331211136,6.16666666666667
